track	start	end	label
Balagopala-Bhairavi-MD-HB	00.03	00.005	grgm
Balagopala-Bhairavi-MD-HB	00.04	00.06	gmp
Balagopala-Bhairavi-MD-HB	00.08	00.10	d'ndp
Balagopala-Bhairavi-MD-HB	01.12	01.14	srnd'
Balagopala-Bhairavi-MD-HB	01.14	01.15	d'nsr
Balagopala-Bhairavi-MD-HB	01.14	01.15	d'ns
Balagopala-Bhairavi-MD-HB	01.15	01.17	rgmrgs
Balagopala-Bhairavi-MD-HB	01.17	01.18	sgrg
Balagopala-Bhairavi-MD-HB	01.19	01.20	mpdp
Balagopala-Bhairavi-MD-HB	01.19	01.20	mpdpmg
Balagopala-Bhairavi-MD-HB	01.20	01.21	pmgr
Balagopala-Bhairavi-MD-HB	01.22	01.23	rgmrgs
Balagopala-Bhairavi-MD-HB	01.12	01.14	nd'	
Balagopala-Bhairavi-MD-HB	00.12	00.14	grs
Balagopala-Bhairavi-MD-HB	00.12	00.14	pmgrs
Balagopala-Bhairavi-MD-HB	04.51	04.52	sgr
Balagopala-Bhairavi-MD-HB	05.20	05.21	nd'nn
Balagopala-Bhairavi-MD-HB	02.09	02.11	n
Balagopala-Bhairavi-MD-HB	02.11	02.12	d'ns
Balagopala-Bhairavi-MD-HB	02.12	02.14	nddp
Balagopala-Bhairavi-MD-HB	02.14	02.16	mpd'
Balagopala-Bhairavi-MD-HB	02.17	02.19	d'nr
Balagopala-Bhairavi-MD-HB	02.31	02.32	rsns
Balagopala-Bhairavi-MD-HB	02.55	02.57	ngr
Balagopala-Bhairavi-MD-HB	02.57	02.58	nsr
Balagopala-Bhairavi-MD-HB	02.57	02.58	ns
Balagopala-Bhairavi-MD-HB	02.58	03.00	rsnnd
Balagopala-Bhairavi-MD-HB	02.58	03.00	nd
Balagopala-Bhairavi-MD-HB	02.58	03.00	rsn
Balagopala-Bhairavi-MD-HB	03.00	03.02	dp
Balagopala-Bhairavi-MD-HB	03.02	03.04	pd'ns
Balagopala-Bhairavi-MD-HB	03.04	03.06	nsr
Balagopala-Bhairavi-MD-HB	03.04	03.06	rsn
Balagopala-Bhairavi-MD-HB	03.04	03.06	rsns
Balagopala-Bhairavi-MD-HB	03.18	03.19	n
Balagopala-Bhairavi-MD-HB	03.19	03.20	rs
Balagopala-Bhairavi-MD-HB	03.20	03.21	rsnd
Balagopala-Bhairavi-MD-HB	03.24	03.25	d'ns
Balagopala-Bhairavi-MD-HB	03.34	03.35	pd'ns
Balagopala-Bhairavi-MD-HB	03.35	03.37	rgrs
Balagopala-Bhairavi-MD-HB	03.37	03.38	sndp
Balagopala-Bhairavi-MD-HB	03.37	03.38	rsndp
Balagopala-Bhairavi-MD-HB	03.38	03.40	mdp
Balagopala-Bhairavi-MD-HB	03.40	03.41	mgrs
Balagopala-Bhairavi-MD-HB	04.28	04.31	rnsr
Balagopala-Bhairavi-MD-HB	04.28	04.30	rns
Balagopala-Bhairavi-MD-HB	04.30	04.32	ggr
Balagopala-Bhairavi-MD-HB	04.30	04.32	rgr
Balagopala-Bhairavi-MD-HB	04.34	04.35	sgrnd'
Balagopala-Bhairavi-MD-HB	04.34	04.35	grsnd'
Balagopala-Bhairavi-MD-HB	04.35	04.38	ngr
Balagopala-Bhairavi-MD-HB	04.35	04.38	gr
Balagopala-Bhairavi-MD-HB	04.38	04.39	grrsr
Balagopala-Bhairavi-MD-HB	04.50	04.52	sgrgr
Balagopala-Bhairavi-MD-HB	04.50	04.52	sgr
Balagopala-Bhairavi-MD-HB	04.53	04.55	gmp
Balagopala-Bhairavi-MD-HB	04.56	04.58	dpdm
Balagopala-Bhairavi-MD-HB	04.56	04.58	dm
Balagopala-Bhairavi-MD-HB	04.58	04.59	mn
Balagopala-Bhairavi-MD-HB	05.01	05.02	nddp
Balagopala-Bhairavi-MD-HB	05.14	05.18	mpd
Balagopala-Bhairavi-MD-HB	05.14	05.15	m
Balagopala-Bhairavi-MD-HB	05.20	05.22	n
Balagopala-Bhairavi-MD-HB	05.19	05.21	mn
Balagopala-Bhairavi-MD-HB	05.24	05.25	nddp
Balagopala-Bhairavi-MD-HB	05.37	05.40	pd'ns
Balagopala-Bhairavi-MD-HB	05.38	05.40	d'ns
Balagopala-Bhairavi-MD-HB	05.40	05.42	nsr
Balagopala-Bhairavi-MD-HB	05.40	05.43	nddp
Balagopala-Bhairavi-MD-HB	05.43	05.44	ps
Balagopala-Bhairavi-MD-HB	05.44	05.45	snnd
Balagopala-Bhairavi-MD-HB	05.45	05.46	pndpdm
Balagopala-Bhairavi-MD-HB	05.46	05.48	pd'ns
